date,game_time,event_id,competition_id,provider_id,provider_name,home_team,away_team,home_abbr,away_abbr,home_moneyline,away_moneyline,home_price_basis,away_price_basis,home_run_line,away_run_line,total_line,over_odds,under_odds,odds_items_count
2025-04-01,23:40,401694980,401694980,58,ESPN BET,Milwaukee Brewers,Kansas City Royals,MIL,KC,-125.0,105.0,close,close,0.0,-1.5,8.5,-125.0,105.0,2
2025-04-01,23:40,401694981,401694981,58,ESPN BET,Chicago White Sox,Minnesota Twins,CHW,MIN,140.0,-165.0,close,close,0.0,-1.5,7.5,100.0,-120.0,2
2025-04-01,23:45,401694979,401694979,58,ESPN BET,St. Louis Cardinals,Los Angeles Angels,STL,LAA,-145.0,120.0,close,close,0.0,1.5,8.5,100.0,-120.0,2
2025-04-01,00:10,401694982,401694982,58,ESPN BET,Houston Astros,San Francisco Giants,HOU,SF,115.0,-135.0,close,close,0.0,-1.5,8.5,-105.0,-115.0,2
2025-04-01,01:40,401694985,401694985,58,ESPN BET,San Diego Padres,Cleveland Guardians,SD,CLE,-165.0,140.0,close,close,0.0,1.5,7.5,-115.0,-105.0,2
2025-04-01,01:40,401694986,401694986,58,ESPN BET,Seattle Mariners,Detroit Tigers,SEA,DET,-160.0,135.0,close,close,0.0,1.5,6.5,-120.0,100.0,2
2025-04-01,02:05,401764520,401764520,58,ESPN BET,Athletics,Chicago Cubs,ATH,CHC,110.0,-130.0,close,close,0.0,-1.5,7.5,-130.0,110.0,2
2025-04-01,02:10,401694983,401694983,58,ESPN BET,Los Angeles Dodgers,Atlanta Braves,LAD,ATL,-125.0,105.0,close,close,0.0,1.5,7.5,100.0,-120.0,2
2025-04-02,16:40,401694992,401694992,58,ESPN BET,Cincinnati Reds,Texas Rangers,CIN,TEX,-145.0,120.0,close,close,0.0,1.5,8.5,-110.0,-110.0,2
2025-04-02,17:10,401694991,401694991,58,ESPN BET,Tampa Bay Rays,Pittsburgh Pirates,TB,PIT,-105.0,-115.0,close,close,0.0,-1.5,6.5,-145.0,120.0,2
2025-04-02,17:10,401694995,401694995,58,ESPN BET,Milwaukee Brewers,Kansas City Royals,MIL,KC,-115.0,-105.0,close,close,0.0,-1.5,7.5,-105.0,-115.0,2
2025-04-02,17:15,401694994,401694994,58,ESPN BET,St. Louis Cardinals,Los Angeles Angels,STL,LAA,-135.0,115.0,close,close,0.0,1.5,8.5,-120.0,100.0,2
2025-04-02,18:10,401694996,401694996,58,ESPN BET,Chicago White Sox,Minnesota Twins,CHW,MIN,160.0,-190.0,close,close,0.0,-1.5,7.5,115.0,-135.0,2
2025-04-02,19:07,401694993,401694993,58,ESPN BET,Toronto Blue Jays,Washington Nationals,TOR,WSH,-110.0,-110.0,close,close,0.0,-1.5,8.5,100.0,-120.0,2
2025-04-02,19:35,401764521,401764521,58,ESPN BET,Athletics,Chicago Cubs,ATH,CHC,-120.0,100.0,close,close,0.0,-1.5,8.5,-105.0,-115.0,2
2025-04-02,20:10,401694997,401694997,58,ESPN BET,Houston Astros,San Francisco Giants,HOU,SF,-175.0,145.0,close,close,0.0,1.5,7.5,-105.0,-115.0,2
2025-04-02,20:10,401695000,401695000,58,ESPN BET,San Diego Padres,Cleveland Guardians,SD,CLE,-175.0,145.0,close,close,0.0,1.5,7.5,-120.0,100.0,2
2025-04-02,20:10,401695001,401695001,58,ESPN BET,Seattle Mariners,Detroit Tigers,SEA,DET,110.0,-130.0,close,close,0.0,-1.5,6.5,-105.0,-115.0,2
2025-04-02,20:40,401694990,401694990,58,ESPN BET,Miami Marlins,New York Mets,MIA,NYM,180.0,-230.0,close,close,0.0,-1.5,8.5,-125.0,105.0,2
2025-04-02,22:35,401694988,401694988,58,ESPN BET,Baltimore Orioles,Boston Red Sox,BAL,BOS,105.0,-125.0,close,close,0.0,-1.5,7.5,-110.0,-110.0,2
2025-04-02,22:45,401694989,401694989,58,ESPN BET,Philadelphia Phillies,Colorado Rockies,PHI,COL,-330.0,260.0,close,close,0.0,1.5,7.5,115.0,-135.0,2
2025-04-02,23:05,401694987,401694987,58,ESPN BET,New York Yankees,Arizona Diamondbacks,NYY,ARI,-150.0,125.0,close,close,0.0,1.5,7.5,-125.0,105.0,2
2025-04-02,00:38,401694998,401694998,58,ESPN BET,Los Angeles Dodgers,Atlanta Braves,LAD,ATL,-240.0,190.0,close,close,0.0,1.5,8.5,105.0,-125.0,2
2025-04-03,17:05,401695003,401695003,58,ESPN BET,Baltimore Orioles,Boston Red Sox,BAL,BOS,-130.0,110.0,close,close,0.0,1.5,9.5,100.0,-120.0,2
2025-04-03,17:05,401695004,401695004,58,ESPN BET,Philadelphia Phillies,Colorado Rockies,PHI,COL,-240.0,200.0,close,close,0.0,1.5,9.5,-130.0,110.0,2
2025-04-03,20:10,401695006,401695006,58,ESPN BET,Minnesota Twins,Houston Astros,MIN,HOU,-130.0,110.0,close,close,0.0,1.5,7.5,115.0,-135.0,2
2025-04-03,23:05,401695002,401695002,58,ESPN BET,New York Yankees,Arizona Diamondbacks,NYY,ARI,-135.0,115.0,close,close,0.0,1.5,9.5,-105.0,-115.0,2
2025-04-03,23:40,401695005,401695005,58,ESPN BET,Milwaukee Brewers,Cincinnati Reds,MIL,CIN,-120.0,100.0,close,close,0.0,-1.5,8.5,100.0,-120.0,2
2025-04-04,17:10,401695009,401695009,58,ESPN BET,Detroit Tigers,Chicago White Sox,DET,CHW,-235.0,195.0,close,close,0.0,1.5,7.5,110.0,-130.0,2
2025-04-04,18:10,401695013,401695013,58,ESPN BET,Boston Red Sox,St. Louis Cardinals,BOS,STL,-120.0,100.0,close,close,0.0,-1.5,9.5,-115.0,-105.0,2
2025-04-04,18:20,401695016,401695016,58,ESPN BET,Chicago Cubs,San Diego Padres,CHC,SD,-180.0,150.0,close,close,0.0,1.5,6.5,-145.0,120.0,2
2025-04-04,19:10,401695007,401695007,58,ESPN BET,New York Mets,Toronto Blue Jays,NYM,TOR,-130.0,110.0,close,close,0.0,1.5,7.5,-105.0,-115.0,2
2025-04-04,20:10,401695018,401695018,58,ESPN BET,Colorado Rockies,Athletics,COL,ATH,-105.0,-115.0,close,close,0.0,-1.5,8.5,-145.0,120.0,2
2025-04-04,20:12,401695012,401695012,58,ESPN BET,Pittsburgh Pirates,New York Yankees,PIT,NYY,150.0,-180.0,close,close,0.0,-1.5,7.5,-120.0,100.0,2
2025-04-04,20:35,401695020,401695020,58,ESPN BET,San Francisco Giants,Seattle Mariners,SF,SEA,-160.0,135.0,close,close,0.0,1.5,7.5,-120.0,100.0,2
2025-04-04,22:45,401695008,401695008,58,ESPN BET,Washington Nationals,Arizona Diamondbacks,WSH,ARI,135.0,-160.0,close,close,0.0,-1.5,8.5,-105.0,-115.0,2
2025-04-04,22:45,401695010,401695010,58,ESPN BET,Philadelphia Phillies,Los Angeles Dodgers,PHI,LAD,115.0,-135.0,close,close,0.0,-1.5,7.5,-130.0,110.0,2
2025-04-04,23:15,401695011,401695011,58,ESPN BET,Atlanta Braves,Miami Marlins,ATL,MIA,-240.0,200.0,close,close,0.0,1.5,7.5,-120.0,100.0,2
2025-04-04,23:40,401695014,401695014,58,ESPN BET,Kansas City Royals,Baltimore Orioles,KC,BAL,-110.0,-110.0,close,close,0.0,-1.5,7.5,-120.0,100.0,2
2025-04-04,00:05,401695017,401695017,58,ESPN BET,Texas Rangers,Tampa Bay Rays,TEX,TB,-130.0,110.0,close,close,0.0,1.5,8.5,-110.0,-110.0,2
2025-04-04,00:10,401695015,401695015,58,ESPN BET,Milwaukee Brewers,Cincinnati Reds,MIL,CIN,-130.0,110.0,close,close,0.0,1.5,8.5,100.0,-120.0,2
2025-04-04,01:38,401695019,401695019,58,ESPN BET,Los Angeles Angels,Cleveland Guardians,LAA,CLE,-110.0,-110.0,close,close,0.0,-1.5,7.5,-120.0,100.0,2
2025-04-05,17:10,401695022,401695022,58,ESPN BET,Detroit Tigers,Chicago White Sox,DET,CHW,-240.0,200.0,close,close,0.0,1.5,7.5,-105.0,-115.0,2
2025-04-05,18:10,401695030,401695030,58,ESPN BET,Minnesota Twins,Houston Astros,MIN,HOU,-125.0,105.0,close,close,0.0,1.5,7.5,-115.0,-105.0,2
2025-04-05,18:20,401695031,401695031,58,ESPN BET,Chicago Cubs,San Diego Padres,CHC,SD,-115.0,-105.0,close,close,0.0,1.5,6.5,-120.0,100.0,2
2025-04-05,20:05,401695021,401695021,58,ESPN BET,Washington Nationals,Arizona Diamondbacks,WSH,ARI,115.0,-135.0,close,close,0.0,-1.5,9.5,100.0,-120.0,2
2025-04-05,20:05,401695023,401695023,58,ESPN BET,Philadelphia Phillies,Los Angeles Dodgers,PHI,LAD,-110.0,-110.0,close,close,0.0,-1.5,8.5,-105.0,-115.0,2
2025-04-05,20:05,401695025,401695025,58,ESPN BET,Pittsburgh Pirates,New York Yankees,PIT,NYY,140.0,-165.0,close,close,0.0,-1.5,9.5,-115.0,-105.0,2
2025-04-05,20:10,401695026,401695026,,,Boston Red Sox,St. Louis Cardinals,BOS,STL,,,,,,,,,,0
2025-04-05,20:10,401695028,401695028,58,ESPN BET,Kansas City Royals,Baltimore Orioles,KC,BAL,-115.0,-105.0,close,close,0.0,-1.5,7.5,-120.0,100.0,2
2025-04-05,23:05,401695032,401695032,58,ESPN BET,Texas Rangers,Tampa Bay Rays,TEX,TB,-180.0,150.0,close,close,0.0,1.5,7.5,-110.0,-110.0,2
2025-04-05,23:10,401695027,401695027,58,ESPN BET,New York Mets,Toronto Blue Jays,NYM,TOR,-145.0,120.0,close,close,0.0,1.5,7.5,-115.0,-105.0,2
