date,season,possessions,total_line,team,opponent,is_home,team_score,opp_score,spread,team_eFG,team_TO,team_ORB,team_FTR,team_3PR,opp_eFG,opp_TO,opp_ORB,opp_FTR,opp_3PR
2025-11-12,2026,66.925,90.0,Georgetown,Binghamton,1,83,70,-28.5,49.25373134328358,5.976839745984311,40.54054054054054,31.343283582089555,28.35820895522388,47.95918367346938,19.42472917444901,20.689655172413794,51.02040816326531,42.857142857142854
2025-11-12,2026,73.325,,Tennessee Martin,Bradley,0,78,67,10.4,67.0,31.367200818274803,26.923076923076923,34.0,48.0,36.27450980392157,19.09307875894988,25.64102564102564,72.54901960784314,39.21568627450981
2025-11-12,2026,73.325,,Bradley,Tennessee Martin,1,67,78,-10.4,36.27450980392157,19.09307875894988,25.64102564102564,72.54901960784314,39.21568627450981,67.0,31.367200818274803,26.923076923076923,34.0,48.0
2025-11-12,2026,77.4375,,Samford,Texas Southern,0,93,90,1.8,55.26315789473685,12.913640032284098,20.0,77.19298245614034,54.385964912280706,58.46153846153847,7.74818401937046,15.789473684210526,32.30769230769231,23.076923076923077
2025-11-12,2026,77.4375,,Texas Southern,Samford,1,90,93,-1.8,58.46153846153847,7.74818401937046,15.789473684210526,32.30769230769231,23.076923076923077,55.26315789473685,12.913640032284098,20.0,77.19298245614034,54.385964912280706
2025-11-12,2026,79.23750000000001,104.0,Prairie View A&M,Oklahoma St.,0,67,94,26.3,46.09375,15.144344533838142,12.5,21.875,37.5,51.369863013698634,17.6684019561445,42.22222222222222,36.986301369863014,34.24657534246575
2025-11-12,2026,79.23750000000001,104.0,Oklahoma St.,Prairie View A&M,1,94,67,-26.3,51.369863013698634,17.6684019561445,42.22222222222222,36.986301369863014,34.24657534246575,46.09375,15.144344533838142,12.5,21.875,37.5
2025-11-12,2026,64.2625,,Siena,St. Bonaventure,0,66,75,7.2,45.28301886792453,21.785644816183623,45.45454545454545,45.28301886792453,28.30188679245283,55.08474576271186,18.673409842443103,43.333333333333336,25.423728813559322,13.559322033898304
2025-11-12,2026,64.2625,,St. Bonaventure,Siena,1,75,66,-7.2,55.08474576271186,18.673409842443103,43.333333333333336,25.423728813559322,13.559322033898304,45.28301886792453,21.785644816183623,45.45454545454545,45.28301886792453,28.30188679245283
2025-11-12,2026,76.45,,Elon,Marshall,0,89,96,1.3,52.142857142857146,13.080444735120993,33.33333333333333,31.428571428571427,54.285714285714285,66.39344262295081,18.312622629169393,28.125,36.0655737704918,52.459016393442624
