team,net_team,match_source,match_score,needs_review
Bushnell Beacons,,unmatched,0.0,True
Butler Bulldogs,Butler,alias_exact,1.0,False
CS Monterey Bay Otters,,unmatched,0.0,True
Cal Lutheran Kingsmen,,unmatched,0.0,True
Cal Poly Mustangs,Cal Poly,alias_exact,1.0,False
Cal State Bakersfield Roadrunners,Cal St. Fullerton,alias_contains,0.5455,False
Cal State East Bay Pioneers,,unmatched,0.0,True
Cal State Fullerton Titans,Cal St. Fullerton,alias_exact,1.0,False
Cal State LA Golden Eagles,,unmatched,0.0,True
Cal State Northridge Matadors,Cal St. Fullerton,alias_contains,0.5455,False
Cal State San Marcos Cougars,,unmatched,0.0,True
California (PA) Vulcans,,unmatched,0.0,True
California Baptist Lancers,California Baptist,alias_exact,1.0,False
California Golden Bears,,unmatched,0.0,True
Calumet College Of St. Joseph Crimson Wave,,unmatched,0.0,True
Campbell Fighting Camels,Campbell,alias_exact,1.0,False
Canisius Golden Griffins,,unmatched,0.0,True
Carnegie Mellon Tartans,,unmatched,0.0,True
Carolina University Bruins,,unmatched,0.0,True
Cedarville Yellow Jackets,,unmatched,0.0,True
Central Arkansas Sugar Bears,Central Ark.,alias_exact,1.0,False
Central Baptist College Mustangs,,unmatched,0.0,True
Central Connecticut Blue Devils,Central Conn. St.,alias_exact,1.0,False
Central Michigan Chippewas,Central Mich.,alias_exact,1.0,False
Chadron State Eagles,,unmatched,0.0,True
Champion Christian Tigers,,unmatched,0.0,True
Chapman Panthers,,unmatched,0.0,True
Charleston Cougars,,unmatched,0.0,True
Charleston Southern Buccaneers,Charleston So.,alias_exact,1.0,False
Charlotte 49ers,Charlotte,alias_exact,1.0,False
Chattanooga Mocs,Chattanooga,alias_exact,1.0,False
Chestnut Hill College Griffins,,unmatched,0.0,True
Cheyney (PA) Wolves,,unmatched,0.0,True
Chicago State Cougars,Chicago St.,alias_exact,1.0,False
Chico State Wildcats,,unmatched,0.0,True
Christopher Newport University Captains,,unmatched,0.0,True
